Event,plot,grid,collection_datetime,sample_name,S275_295,S275_295_r2,S350_400,S350_400_r2,Sr,E2toE3,FI,HIX,FRESH,BIX,Abs_250nm,Abs_254nm,Abs_280nm,Abs_350nm,Abs_365nm,Abs_412nm,Abs_440nm,C_RSU,A_RSU,T_RSU,B_RSU,M_RSU,FDOM_RSU,evacuation_date
TMP,Freshwater,I5,2023-06-08T19:28:00Z,TMP_FW_I5_20230608,0.014152,0.99943,0.017935,0.99984,0.78908,5.3348,1.4976,0.94257,0.54431,0.55477,0.24587,0.2388,0.2388,0.059521,0.046089,0.019285,0.012277,1.1097,1.9214,0.25137,0.11317,0.96884,0.83537,2023-06-07
TMP,Freshwater,I5,2023-06-12T14:09:00Z,TMP_FW_I5_20230612,0.014336,0.99901,0.01813,0.99985,0.79072,5.4258,1.519,0.94088,0.55609,0.5577,0.27581,0.26799,0.26799,0.06578,0.050834,0.021172,0.01375,1.2266,2.167,0.27698,0.12815,1.0764,0.94326,2023-06-08
TMP,Freshwater,I5,2023-06-14T19:36:00Z,TMP_FW_I5_20230614,0.014662,0.99951,0.018801,0.9998,0.77985,5.6636,1.5234,0.94602,0.56184,0.57106,0.30924,0.30037,0.30037,0.071296,0.054602,0.021914,0.013731,1.383,2.3987,0.29514,0.12287,1.2103,1.05,2023-06-12
TMP,Freshwater,I5,2023-06-17T16:25:00Z,TMP_FW_I5_20230617,0.014751,0.9995,0.018832,0.99982,0.78329,5.7146,1.5313,0.94755,0.56577,0.57502,0.33684,0.32689,0.32689,0.07705,0.058944,0.023634,0.014846,1.5004,2.5921,0.3285,0.13071,1.3296,1.1472,2023-06-14
TMP,Freshwater,I5,2023-06-27T14:54:00Z,TMP_FW_I5_20230627,0.014478,0.99948,0.0186,0.99979,0.7784,5.5691,1.5095,0.9364,0.57036,0.57965,0.39513,0.38361,0.38361,0.092436,0.070951,0.028669,0.017726,1.9023,2.9172,0.37402,0.14858,1.491,1.3107,2023-06-23
TMP,Freshwater,I5,2023-07-07T13:20:00Z,TMP_FW_I5_20230707,0.014626,0.99929,0.018582,0.9998,0.78711,5.6038,1.515,0.93977,0.56179,0.57246,0.44011,0.42708,0.42708,0.10231,0.078537,0.031629,0.019556,1.9257,3.3988,0.44975,0.22698,1.6903,1.4855,2023-07-05
TMP,Freshwater,I5,2023-06-07T21:04:00Z,TMP_FW_I5_20230607_1600,0.013678,0.9984,0.016433,0.99991,0.83235,5.0201,1.481,0.92362,0.53019,0.54172,0.15296,0.14868,0.14868,0.038786,0.03047,0.013933,0.0097149,0.6872,1.1805,0.16645,0.090885,0.61013,0.50895,2023-06-07
TMP,Freshwater,I5,2023-06-07T12:01:00Z,TMP_FW_I5_20230607_1600,0.013678,0.9984,0.016433,0.99991,0.83235,5.0201,1.481,0.92362,0.53019,0.54172,0.15296,0.14868,0.14868,0.038786,0.03047,0.013933,0.0097149,0.6872,1.1805,0.16645,0.090885,0.61013,0.50895,2023-06-06
TMP,Freshwater,I5,2023-06-07T21:04:00Z,TMP_FW_I5_20230607_0800,0.013969,0.99956,0.017497,0.99986,0.79835,5.2482,1.4971,0.93645,0.55777,0.56539,0.25416,0.24684,0.24684,0.06227,0.048429,0.020681,0.01311,1.1318,1.9698,0.266,0.14412,0.99396,0.87562,2023-06-07
TMP,Freshwater,I5,2023-06-07T12:01:00Z,TMP_FW_I5_20230607_0800,0.013969,0.99956,0.017497,0.99986,0.79835,5.2482,1.4971,0.93645,0.55777,0.56539,0.25416,0.24684,0.24684,0.06227,0.048429,0.020681,0.01311,1.1318,1.9698,0.266,0.14412,0.99396,0.87562,2023-06-06
TMP,Freshwater,I5,2023-06-03T20:09:00Z,TMP_FW_I5_20230603,0.015043,0.99923,0.020116,0.99956,0.74783,6.0362,1.5268,0.94858,0.56051,0.56567,0.34114,0.33055,0.33055,0.074922,0.056516,0.020905,0.011917,1.4677,2.5542,0.31367,0.1221,1.2968,1.1233,2023-05-31
TMP,Freshwater,POOL,2023-06-07T20:00:00Z,TMP_FW_POOL_20230607_1600,0.014411,0.99571,0.017958,0.99991,0.80252,5.5412,1.4818,0.86242,0.53791,0.54911,0.18524,0.17947,0.17947,0.043402,0.033429,0.01396,0.0086921,0.72561,1.2361,0.21226,0.18621,0.63816,0.51926,2023-06-07
TMP,Freshwater,POOL,2023-06-07T20:00:00Z,TMP_FW_POOL_20230607_1600,0.014411,0.99571,0.017958,0.99991,0.80252,5.5412,1.4818,0.86242,0.53791,0.54911,0.18524,0.17947,0.17947,0.043402,0.033429,0.01396,0.0086921,0.72561,1.2361,0.21226,0.18621,0.63816,0.51926,2023-06-06
TMP,Freshwater,POOL,2023-06-27T15:59:00Z,TMP_FW_POOL_20230627,0.014359,0.99908,0.018768,0.99976,0.76507,5.5853,1.54,0.90052,0.55972,0.57736,0.33442,0.32441,0.32441,0.078251,0.059876,0.023846,0.014465,1.3319,2.202,0.35924,0.20381,1.1605,1.0168,2023-06-23
TMP,Freshwater,POOL,2023-07-07T15:59:00Z,TMP_FW_POOL_20230707,0.014271,0.99944,0.018707,0.99976,0.76286,5.5573,1.5168,0.90777,0.5482,0.56199,0.42346,0.41131,0.41131,0.099483,0.076199,0.030506,0.018665,1.6511,2.8004,0.44113,0.2327,1.4249,1.2624,2023-07-05
